INCIDENT_ID,DATA_YEAR,STATE_NAME,INCIDENT_DATE,OFFENDER_RACE,OFFENDER_ETHNICITY,OFFENSE_NAME,BIAS_DESC
489316,2019,Alaska,2019-02-12,White,Unknown,Simple Assault,Anti-American Indian or Alaska Native
626694,2019,Alaska,2019-05-15,White,Not Hispanic or Latino,Intimidation,Anti-Black or African American
626695,2019,Alaska,2019-06-27,White,Unknown,Aggravated Assault,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)"
647666,2019,Alaska,2019-07-20,American Indian or Alaska Native,Unknown,Aggravated Assault,Anti-Black or African American
647667,2019,Alaska,2019-09-26,White,Unknown,Simple Assault,Anti-Black or African American
647668,2019,Alaska,2019-09-09,American Indian or Alaska Native,Unknown,Robbery,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)"
494487,2019,Alaska,2019-06-27,White,Hispanic or Latino,Aggravated Assault,Anti-Other Race/Ethnicity/Ancestry
689802,2019,Alaska,2019-09-26,White,Unknown,Simple Assault,Anti-American Indian or Alaska Native
647281,2019,Alaska,2019-11-18,Unknown,Unknown,Intimidation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)"
647282,2019,Alaska,2019-11-22,Unknown,Unknown,Destruction/Damage/Vandalism of Property,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)"
567679,2019,Alaska,2019-06-19,Multiple,Unknown,Destruction/Damage/Vandalism of Property,Anti-Black or African American
1236653,2019,Alabama,2019-10-17,Black or African American,Not Hispanic or Latino,Impersonation,Anti-White
1352275,2019,Arkansas,2019-07-29,White,Not Hispanic or Latino,Destruction/Damage/Vandalism of Property,Anti-Black or African American
1293396,2019,Arkansas,2019-07-10,Black or African American,Not Hispanic or Latino,Motor Vehicle Theft,Anti-Black or African American
688645,2019,Arkansas,2019-03-01,White,Not Hispanic or Latino,Rape,Anti-White
688683,2019,Arkansas,2019-08-02,Unknown,Unknown,Shoplifting,Anti-Black or African American
688693,2019,Arkansas,2019-01-08,Unknown,Unknown,Statutory Rape,Anti-Black or African American
482967,2019,Arkansas,2019-06-20,White,Unknown,Aggravated Assault,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)"
1319570,2019,Arkansas,2019-12-17,American Indian or Alaska Native,Not Hispanic or Latino,Drug/Narcotic Violations,Anti-Gender Non-Conforming
1293459,2019,Arkansas,2019-11-25,White,Not Hispanic or Latino,Aggravated Assault,Anti-Asian
1293425,2019,Arkansas,2019-08-02,Unknown,Unknown,Credit Card/Automated Teller Machine Fraud,Anti-Gender Non-Conforming
1352320,2019,Arkansas,2019-09-13,White,Unknown,Aggravated Assault,Anti-Black or African American
1352328,2019,Arkansas,2019-12-19,White,Not Hispanic or Latino,Intimidation,Anti-Black or African American
1352349,2019,Arkansas,2019-09-12,White,Unknown,All Other Larceny;Destruction/Damage/Vandalism of Property,Anti-Black or African American
1352364,2019,Arkansas,2019-11-08,White,Unknown,Intimidation,Anti-Hispanic or Latino
1352303,2019,Arkansas,2019-12-19,White,Not Hispanic or Latino,Aggravated Assault,Anti-Black or African American
465552,2019,Arizona,2019-03-25,Unknown,Unknown,Destruction/Damage/Vandalism of Property,Anti-Jewish
570679,2019,Arizona,2019-06-05,Unknown,Unknown,Destruction/Damage/Vandalism of Property,Anti-White
1348465,2019,Arizona,2019-02-02,Unknown,Unknown,Destruction/Damage/Vandalism of Property,Anti-Jewish
